Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
IGHG3	3.915355156697041	2.8300481347790396	0.41770985122416315	0.0022233180031126605	0.027692319715296378	TRUE
IGKC	5.67697423048654	2.727201170811606	0.4229918755517002	0.005732625614995967	0.04262139187349389	TRUE
FGA	5.206602906098733	2.0912940605856796	0.2468166441331492	9.770970911126059e-4	0.019811963339016626	TRUE
SERPINA3	527.5021964760086	1.7310882909176628	0.6106372387724235	1.5469069565190598e-4	0.009659276446444959	TRUE
CSF3	12.852770633287776	1.6983066941491007	0.5661350133526916	0.004125756726345071	0.036066150285901176	TRUE
HS3ST3B1	63.59292842647831	1.6874307512130227	0.3763348953342826	3.194173167530855e-7	8.124556905679593e-4	TRUE
IGHG4	7.435129368704544	1.6177094222517814	0.46195962337511376	1.9615459538614563e-5	0.004443819165532036	TRUE
MIR126	3.0063511613718	1.5388974405543574	0.3998423268250038	3.9241775769900464e-6	0.0020709348642901945	TRUE
COQ7-DT	6.705479112870087	1.4720862030098227	0.41624137344717155	1.5816548896750896e-5	0.003978817992795841	TRUE
CHI3L2	45.533445539381574	1.4604482085039117	0.43948904298426883	3.5126514466011454e-5	0.005583590358247007	TRUE
STC1	51.73560353137528	1.4499041383637028	0.43784668398542204	3.718277568054553e-5	0.005637007290589724	TRUE
CCDC194	9.097757411086864	1.4156175058245561	0.2383817260905503	9.575022329349261e-4	0.019771633117009045	TRUE
SLC34A1	4.486343169802041	1.3516806954810763	0.4853902549366464	1.7562828001684719e-4	0.010080034623446728	TRUE
TNFRSF6B	183.44511667793634	1.3085665138931775	1.2448030707409956	0.0038226396108370555	0.0348498072366714	TRUE
CP	202.12158105157627	1.2904756223187137	0.40691498954649546	5.95754943632118e-5	0.0066864408035931435	TRUE
TMPRSS3	61.268539487390015	1.246741259897597	0.2694916654751508	1.8862504507203291e-7	6.241587326797813e-4	TRUE
SOCS3	371.3143362489867	1.2414725402742506	0.5910408671649107	0.0010200906948053963	0.020135191769500852	TRUE
TMEM225	2.7000399874273837	1.2356992338791852	0.3853346517882896	5.0251511762204314e-5	0.006397773514006142	TRUE
MIA	6.79936620467913	1.2202779793436944	0.48239396514662275	3.7090307443138565e-4	0.013680683384854966	TRUE
TBC1D3E	3.6117068028143136	1.209927154886504	0.57119113868852045	2.892018749784804e-4	0.012478349463155309	TRUE
RGR	349.5086979826848	1.2011595327567663	0.1877666077804747	8.328684499678993e-4	0.018853945270467087	TRUE
BAG3	1506.0912337919976	1.186185251794207	0.372099422081192	5.958561610750486e-5	0.0066864408035931435	TRUE
GLI2	155.94250351051437	1.159368703704791	0.3457798747450872	3.277362125647233e-5	0.00539214155245688	TRUE
NPC1L1	11.479185412293551	1.1299903592177725	0.32923235560793773	2.5097828479523368e-5	0.00505098481074941	TRUE
IL21	4.197806503320342	1.120430854374735	0.47732906281172954	5.691105528321295e-4	0.016333158180984637	TRUE
SPEM3	3.9008258442095882	1.1105803195151072	0.4685668487743032	6.719870143927633e-4	0.017207076883086286	TRUE
LINC00397	2.749695818875076	1.1037846717589908	0.38105909611795746	1.5425699952632805e-4	0.009659276446444959	TRUE
C10orf105	228.05481815717832	1.0988272808956752	0.3191143928695784	2.5825766220303257e-5	0.00505098481074941	TRUE
MUC1	92.5499257686465	1.0981522935026153	0.2750032593523654	2.8853189404505366e-6	0.0017851546266160455	TRUE
SLC14A1	857.4976784771454	1.07331978470556	0.3437062721277411	7.717000021859303e-5	0.007536811695414598	TRUE
DAPK1-IT1	9.582249396090635	1.0726737084881475	0.2732876573437803	5.120985345779102e-6	0.002211879179916513	TRUE
HIF3A	1363.8032685210046	1.0682341233222898	0.25131936451280584	1.0259414102354214e-6	0.0012095181085132922	TRUE
TNFRSF10D	53.4019090688481	1.056378449184602	0.26433891446841284	3.047544357346423e-6	0.0018359048796940608	TRUE
LINC01676	6.420538135870037	1.0562779624423875	0.28957231024446894	1.2379729231882187e-5	0.003587300779446165	TRUE
C9orf131	109.38869003990898	1.0486109275516153	0.32688992218583113	5.697960443588143e-5	0.006607100196465142	TRUE
TEKT4	109.21008519408673	1.0474818879734544	0.32130106682099097	4.7143739212876775e-5	0.006252658917071612	TRUE
PAPLN	809.5072085434109	1.0420447258076948	0.2533277753283271	1.995640518777247e-6	0.0015999472420397897	TRUE
IL1RL1	87.17357913007764	1.0357229082842754	0.4963650847033571	0.0011354152981954578	0.021046094741935563	TRUE
FAM225B	69.66195212548847	1.018015969999181	0.21484722440041754	1.1039255476700188e-7	5.054212727452414e-4	TRUE
LINC02864	55.1859656851674	1.016148615202491	0.27448015426443734	9.51245592023679e-6	0.003198946099876239	TRUE
LOC105375166	8.017016091193813	1.0088931113630732	0.30489964931648006	3.891368765205718e-5	0.00577814241024735	TRUE
CT45A3	3.3251424556791602	1.006025852578292	0.5608364107087793	0.0015016422634415924	0.023565128340752365	TRUE
LOC107984827	12.81495927364159	1.0048193090255617	0.33365836999669357	1.0698744059497404e-4	0.008340082731302696	TRUE
ITGB4	2876.6155641842192	1.0028573672763672	0.3220893341451727	8.77860958671676e-5	0.007838920643117635	TRUE
CYLC2	10.402828078330536	1.0004813462670177	0.30910217648400495	5.801271795777973e-5	0.006607100196465142	TRUE
HCG22	35.88797166202756	-1.0373725451616125	0.32577607473776166	5.527971980537947e-5	0.006536322538559177	TRUE
CCL4	11.65079447322794	-1.1398252033138854	0.41185040518359367	1.9796323861883536e-4	0.010699284500945214	TRUE
TSSK2	3.698841860045719	-1.655033771805797	0.6114694580614873	1.408942458096166e-4	0.00927540489893372	TRUE
