Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
IGHG2	6.651706895691641	3.77281189726347	0.37898563173767	0.16855509375791583	0.3126367854728738	FALSE
IGHA1	3.029841277876881	3.4492145531987433	0.31506155465767743	0.8527890065118983	0.9105971025148921	FALSE
IGHG1	10.319462203254536	2.914326673561884	0.35823430142848206	0.4489519175775352	0.6008317018600228	FALSE
IGHG3	3.915355156697041	2.8300481347790396	0.41770985122416315	0.0022233180031126605	0.027692319715296378	TRUE
IGKC	5.67697423048654	2.727201170811606	0.4229918755517002	0.005732625614995967	0.04262139187349389	TRUE
IGHV3-30	1.3051857408172907	2.443604948699665	0.33586879084504917	0.33405065367000314	0.49077288950646114	FALSE
IGHA2	1.2584423628014094	2.1612684472338666	0.31792496146940924	0.8488305902373076	0.9082534816851162	FALSE
FGA	5.206602906098733	2.0912940605856796	0.2468166441331492	9.770970911126059e-4	0.019811963339016626	TRUE
IGHV3-7	1.2351663570659623	2.0109620420277747	0.3545292436461965	0.3718948795974351	0.5282825539240456	FALSE
SLAMF8	2.7879346011165773	2.010487441279133	0.39914876210976	0.3047192168650808	0.46158064163935136	FALSE
IGHM	6.22215669478247	1.9826581954084057	0.2819115278287542	0.7716892074787471	0.8571329130326774	FALSE
IGHV3-23	1.23424279280024	1.8522111989827186	0.34743068575529495	0.7616397925956422	0.8501333674263412	FALSE
IGLC2	1.3864392849221672	1.7329566469648174	0.26956921490562397	0.9814384533108518	0.9896340430756884	FALSE
SERPINA3	527.5021964760086	1.7310882909176628	0.6106372387724235	1.5469069565190598e-4	0.009659276446444959	TRUE
CSF3	12.852770633287776	1.6983066941491007	0.5661350133526916	0.004125756726345071	0.036066150285901176	TRUE
HS3ST3B1	63.59292842647831	1.6874307512130227	0.3763348953342826	3.194173167530855e-7	8.124556905679593e-4	TRUE
IGHV3-74	1.244980221243816	1.679377344886525	0.3416925265180749	0.9194256374411129	0.9514280667345609	FALSE
IGHG4	7.435129368704544	1.6177094222517814	0.46195962337511376	1.9615459538614563e-5	0.004443819165532036	TRUE
IGLC3	1.3501907593649674	1.5688323340478862	0.3770886874061268	0.43535472303802086	0.5885979399826585	FALSE
MIR126	3.0063511613718	1.5388974405543574	0.3998423268250038	3.9241775769900464e-6	0.0020709348642901945	TRUE
COQ7-DT	6.705479112870087	1.4720862030098227	0.41624137344717155	1.5816548896750896e-5	0.003978817992795841	TRUE
CHI3L2	45.533445539381574	1.4604482085039117	0.43948904298426883	3.5126514466011454e-5	0.005583590358247007	TRUE
STC1	51.73560353137528	1.4499041383637028	0.43784668398542204	3.718277568054553e-5	0.005637007290589724	TRUE
CCDC194	9.097757411086864	1.4156175058245561	0.2383817260905503	9.575022329349261e-4	0.019771633117009045	TRUE
RNASE2	3.437495654691619	1.3767476573038073	0.3012533617097542	0.0988764877630466	0.22013999092196881	FALSE
TBC1D3K	2.2821732407905038	1.3698057412056492	0.43813568169825107	0.32740869423002583	0.484332137532391	FALSE
LIF	5.507921862808684	1.3657685542327014	0.3915153195685847	0.018640440258482657	0.0779571863103412	FALSE
SLC34A1	4.486343169802041	1.3516806954810763	0.4853902549366464	1.7562828001684719e-4	0.010080034623446728	TRUE
TNFRSF6B	183.44511667793634	1.3085665138931775	1.2448030707409956	0.0038226396108370555	0.0348498072366714	TRUE
CP	202.12158105157627	1.2904756223187137	0.40691498954649546	5.95754943632118e-5	0.0066864408035931435	TRUE
TMPRSS3	61.268539487390015	1.246741259897597	0.2694916654751508	1.8862504507203291e-7	6.241587326797813e-4	TRUE
SOCS3	371.3143362489867	1.2414725402742506	0.5910408671649107	0.0010200906948053963	0.020135191769500852	TRUE
TMEM225	2.7000399874273837	1.2356992338791852	0.3853346517882896	5.0251511762204314e-5	0.006397773514006142	TRUE
CCDC83	3.027252964817906	1.2309222710779402	0.3833298166648718	0.10216470154058707	0.22462104760537066	FALSE
MIA	6.79936620467913	1.2202779793436944	0.48239396514662275	3.7090307443138565e-4	0.013680683384854966	TRUE
TBC1D3E	3.6117068028143136	1.209927154886504	0.57119113868852045	2.892018749784804e-4	0.012478349463155309	TRUE
TMEM95	3.2324028184155003	1.203950390357533	0.2814916925269429	0.44965397380914496	0.601354775428844	FALSE
