ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0002696	positive regulation of leukocyte activation	6/35	450/18903	1.5902647250277748e-4	0.06339477817948597	0.052948388620472624	IGHG3/IGKC/IGHG4/GLI2/IL21/IL1RL1	6
GO:0050871	positive regulation of B cell activation	4/35	155/18903	1.867960092879419e-4	0.06339477817948597	0.052948388620472624	IGHG3/IGKC/IGHG4/IL21	4
GO:0050867	positive regulation of cell activation	6/35	467/18903	1.9446250975302444e-4	0.06339477817948597	0.052948388620472624	IGHG3/IGKC/IGHG4/GLI2/IL21/IL1RL1	6
GO:0050864	regulation of B cell activation	4/35	204/18903	5.306071871730185e-4	0.12973345726380303	0.10835557295954275	IGHG3/IGKC/IGHG4/IL21	4
GO:0051251	positive regulation of lymphocyte activation	5/35	400/18903	7.962285338919711e-4	0.13754459481571724	0.11487956686793302	IGHG3/IGKC/IGHG4/GLI2/IL21	5
GO:0006910	phagocytosis, recognition	3/35	103/18903	9.059016725732504e-4	0.13754459481571724	0.11487956686793302	IGHG3/IGKC/IGHG4	3
GO:0006958	complement activation, classical pathway	3/35	106/18903	9.844705150409208e-4	0.13754459481571724	0.11487956686793302	IGHG3/IGKC/IGHG4	3
GO:0002455	humoral immune response mediated by circulating immunoglobulin	3/35	119/18903	0.0013745167192197672	0.15155810092931246	0.12658388367360512	IGHG3/IGKC/IGHG4	3
GO:0006911	phagocytosis, engulfment	3/35	127/18903	0.0016566410155836129	0.15155810092931246	0.12658388367360512	IGHG3/IGKC/IGHG4	3
GO:0050853	B cell receptor signaling pathway	3/35	130/18903	0.0017710912715517215	0.15155810092931246	0.12658388367360512	IGHG3/IGKC/IGHG4	3
GO:0006956	complement activation	3/35	132/18903	0.0018500741726257058	0.15155810092931246	0.12658388367360512	IGHG3/IGKC/IGHG4	3
GO:2000352	negative regulation of endothelial cell apoptotic process	2/35	35/18903	0.0019070525694607925	0.15155810092931246	0.12658388367360512	FGA/MIR126	2
GO:0099024	plasma membrane invagination	3/35	136/18903	0.0020145759837229675	0.15155810092931246	0.12658388367360512	IGHG3/IGKC/IGHG4	3
GO:0010324	membrane invagination	3/35	143/18903	0.0023238629502120604	0.15413305696747204	0.12873453041304306	IGHG3/IGKC/IGHG4	3
GO:0043618	regulation of transcription from RNA polymerase II promoter in response to stress	2/35	39/18903	0.002364003941218896	0.15413305696747204	0.12873453041304306	BAG3/MUC1	2
GO:0006959	humoral immune response	4/35	320/18903	0.0027900494742205987	0.164923424896202	0.13774682781127195	IGHG3/IGKC/FGA/IGHG4	4
GO:0050729	positive regulation of inflammatory response	3/35	154/18903	0.002866767099422734	0.164923424896202	0.13774682781127195	MIR126/IL21/IL1RL1	3
GO:0043620	regulation of DNA-templated transcription in response to stress	2/35	45/18903	0.003136485314305853	0.16569747639192747	0.13839332868381846	BAG3/MUC1	2
GO:0060249	anatomical structure homeostasis	4/35	333/18903	0.0032190716272460346	0.16569747639192747	0.13839332868381846	IGHG3/IGKC/SERPINA3/BAG3	4
GO:0042113	B cell activation	4/35	350/18903	0.0038455865491530705	0.18804918225358513	0.15706185063909386	IGHG3/IGKC/IGHG4/IL21	4
GO:0002449	lymphocyte mediated immunity	4/35	367/18903	0.004550499086010284	0.2073006597898402	0.1731410095758433	IGHG3/IGKC/IGHG4/IL21	4
GO:0002460	adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains	4/35	375/18903	0.004910612221213664	0.2073006597898402	0.1731410095758433	IGHG3/IGKC/IGHG4/IL1RL1	4
GO:0061138	morphogenesis of a branching epithelium	3/35	188/18903	0.005014531430664791	0.2073006597898402	0.1731410095758433	HS3ST3B1/SOCS3/GLI2	3
GO:0042742	defense response to bacterium	4/35	382/18903	0.0052411090290276265	0.2073006597898402	0.1731410095758433	IGHG3/IGKC/FGA/IGHG4	4
GO:0007566	embryo implantation	2/35	59/18903	0.005333528392601239	0.2073006597898402	0.1731410095758433	STC1/ITGB4	2
GO:2000351	regulation of endothelial cell apoptotic process	2/35	60/18903	0.005511060485210476	0.2073006597898402	0.1731410095758433	FGA/MIR126	2
GO:1904036	negative regulation of epithelial cell apoptotic process	2/35	62/18903	0.005874193180204109	0.2127763307496155	0.177714382371867	FGA/MIR126	2
GO:0001763	morphogenesis of a branching structure	3/35	203/18903	0.0062023648762462	0.216639744606028	0.180941170825829	HS3ST3B1/SOCS3/GLI2	3
GO:0072577	endothelial cell apoptotic process	2/35	66/18903	0.006632453696916583	0.22367378329601445	0.18681611864999165	FGA/MIR126	2
GO:0050727	regulation of inflammatory response	4/35	414/18903	0.006943286237612798	0.22635113134617724	0.18905228492587833	MIR126/SOCS3/IL21/IL1RL1	4
GO:0016064	immunoglobulin mediated immune response	3/35	215/18903	0.007264184872173801	0.22917331628987023	0.1914094214195881	IGHG3/IGKC/IGHG4	3
GO:0019724	B cell mediated immunity	3/35	218/18903	0.007545464160473406	0.23060824840446847	0.19260790093840013	IGHG3/IGKC/IGHG4	3
GO:0070374	positive regulation of ERK1 and ERK2 cascade	3/35	223/18903	0.008028508522088713	0.2327061315031936	0.1943600883074785	FGA/MIR126/CCL4	3
GO:0008037	cell recognition	3/35	230/18903	0.008734949601334245	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0001895	retina homeostasis	2/35	80/18903	0.009614060235845701	0.2327061315031936	0.1943600883074785	IGHG3/IGKC	2
GO:0014068	positive regulation of phosphatidylinositol 3-kinase signaling	2/35	80/18903	0.009614060235845701	0.2327061315031936	0.1943600883074785	CSF3/MIR126	2
GO:0042509	regulation of tyrosine phosphorylation of STAT protein	2/35	82/18903	0.010080582832325515	0.2327061315031936	0.1943600883074785	SOCS3/IL21	2
GO:0002443	leukocyte mediated immunity	4/35	463/18903	0.010204937012162277	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4/IL21	4
GO:0032103	positive regulation of response to external stimulus	4/35	464/18903	0.010280270191123939	0.2327061315031936	0.1943600883074785	MIR126/IL21/IL1RL1/CCL4	4
GO:0008625	extrinsic apoptotic signaling pathway via death domain receptors	2/35	85/18903	0.01079893480172378	0.2327061315031936	0.1943600883074785	FGA/BAG3	2
GO:0007260	tyrosine phosphorylation of STAT protein	2/35	86/18903	0.011043299274694596	0.2327061315031936	0.1943600883074785	SOCS3/IL21	2
GO:0033273	response to vitamin	2/35	86/18903	0.011043299274694596	0.2327061315031936	0.1943600883074785	STC1/SLC34A1	2
GO:0050851	antigen receptor-mediated signaling pathway	3/35	252/18903	0.011188502130471428	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0033627	cell adhesion mediated by integrin	2/35	88/18903	0.011539342735879022	0.2327061315031936	0.1943600883074785	MUC1/ITGB4	2
GO:0042475	odontogenesis of dentin-containing tooth	2/35	91/18903	0.012301554519287494	0.2327061315031936	0.1943600883074785	SLC34A1/GLI2	2
GO:0044070	regulation of anion transport	2/35	93/18903	0.012821685352336772	0.2327061315031936	0.1943600883074785	STC1/SLC34A1	2
GO:0050730	regulation of peptidyl-tyrosine phosphorylation	3/35	266/18903	0.012937700931987511	0.2327061315031936	0.1943600883074785	CSF3/SOCS3/IL21	3
GO:0001894	tissue homeostasis	3/35	275/18903	0.014140615044434687	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/SERPINA3	3
GO:0021510	spinal cord development	2/35	98/18903	0.014163440015231572	0.2327061315031936	0.1943600883074785	BAG3/GLI2	2
GO:0043270	positive regulation of ion transport	3/35	289/18903	0.016135114208081152	0.2327061315031936	0.1943600883074785	STC1/SLC34A1/CCL4	3
GO:0022600	digestive system process	2/35	106/18903	0.016430984889847042	0.2327061315031936	0.1943600883074785	SERPINA3/NPC1L1	2
GO:0001666	response to hypoxia	3/35	296/18903	0.017189045593221743	0.2327061315031936	0.1943600883074785	MIR126/STC1/HIF3A	3
GO:1904035	regulation of epithelial cell apoptotic process	2/35	110/18903	0.01761926232219035	0.2327061315031936	0.1943600883074785	FGA/MIR126	2
GO:0014066	regulation of phosphatidylinositol 3-kinase signaling	2/35	111/18903	0.017921913255321508	0.2327061315031936	0.1943600883074785	CSF3/MIR126	2
GO:0010944	negative regulation of transcription by competitive promoter binding	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0030643	cellular phosphate ion homeostasis	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0030647	aminoglycoside antibiotic metabolic process	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0035747	natural killer cell chemotaxis	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	CCL4	1
GO:0035878	nail development	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	ITGB4	1
GO:0044341	sodium-dependent phosphate transport	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0046689	response to mercury ion	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0060536	cartilage morphogenesis	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	STC1	1
GO:0071918	urea transmembrane transport	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC14A1	1
GO:0072502	cellular trivalent inorganic anion homeostasis	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0097201	negative regulation of transcription from RNA polymerase II promoter in response to stress	1/35	10/18903	0.0183664030894356	0.2327061315031936	0.1943600883074785	BAG3	1
GO:0031349	positive regulation of defense response	3/35	307/18903	0.018922022810473612	0.2327061315031936	0.1943600883074785	MIR126/IL21/IL1RL1	3
GO:0001822	kidney development	3/35	309/18903	0.019247224109191767	0.2327061315031936	0.1943600883074785	HS3ST3B1/SLC34A1/GLI2	3
GO:0036293	response to decreased oxygen levels	3/35	309/18903	0.019247224109191767	0.2327061315031936	0.1943600883074785	MIR126/STC1/HIF3A	3
GO:0002429	immune response-activating cell surface receptor signaling pathway	3/35	312/18903	0.0197408728798531	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0002757	immune response-activating signal transduction	3/35	312/18903	0.0197408728798531	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0006909	phagocytosis	3/35	314/18903	0.020073872803715545	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0015840	urea transport	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	SLC14A1	1
GO:0032754	positive regulation of interleukin-5 production	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	IL1RL1	1
GO:0033089	positive regulation of T cell differentiation in thymus	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0033504	floor plate development	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0060579	ventral spinal cord interneuron fate commitment	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0060581	cell fate commitment involved in pattern specification	1/35	11/18903	0.020184916607239534	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0070372	regulation of ERK1 and ERK2 cascade	3/35	315/18903	0.02024154366866625	0.2327061315031936	0.1943600883074785	FGA/MIR126/CCL4	3
GO:0032609	interferon-gamma production	2/35	119/18903	0.020422131685582583	0.2327061315031936	0.1943600883074785	IL21/IL1RL1	2
GO:0032649	regulation of interferon-gamma production	2/35	119/18903	0.020422131685582583	0.2327061315031936	0.1943600883074785	IL21/IL1RL1	2
GO:0051897	positive regulation of protein kinase B signaling	2/35	120/18903	0.0207444054456473	0.2327061315031936	0.1943600883074785	CSF3/MIR126	2
GO:0072001	renal system development	3/35	318/18903	0.020749242346546265	0.2327061315031936	0.1943600883074785	HS3ST3B1/SLC34A1/GLI2	3
GO:0022409	positive regulation of cell-cell adhesion	3/35	322/18903	0.02143711494711021	0.2327061315031936	0.1943600883074785	FGA/GLI2/IL21	3
GO:0001886	endothelial cell morphogenesis	1/35	12/18903	0.02200015733975824	0.2327061315031936	0.1943600883074785	STC1	1
GO:0033629	negative regulation of cell adhesion mediated by integrin	1/35	12/18903	0.02200015733975824	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0043589	skin morphogenesis	1/35	12/18903	0.02200015733975824	0.2327061315031936	0.1943600883074785	ITGB4	1
GO:0071107	response to parathyroid hormone	1/35	12/18903	0.02200015733975824	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0051928	positive regulation of calcium ion transport	2/35	129/18903	0.02374002469693831	0.2327061315031936	0.1943600883074785	STC1/CCL4	2
GO:0021514	ventral spinal cord interneuron differentiation	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0034616	response to laminar fluid shear stress	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	MIR126	1
GO:0060670	branching involved in labyrinthine layer morphogenesis	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	SOCS3	1
GO:0098840	protein transport along microtubule	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	BAG3	1
GO:0099118	microtubule-based protein transport	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	BAG3	1
GO:1903961	positive regulation of anion transmembrane transport	1/35	13/18903	0.023812131004101178	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0070482	response to oxygen levels	3/35	337/18903	0.024128139009105574	0.2327061315031936	0.1943600883074785	MIR126/STC1/HIF3A	3
GO:0070371	ERK1 and ERK2 cascade	3/35	340/18903	0.024687485792828867	0.2327061315031936	0.1943600883074785	FGA/MIR126/CCL4	3
GO:0002768	immune response-regulating cell surface receptor signaling pathway	3/35	341/18903	0.02487550115192682	0.2327061315031936	0.1943600883074785	IGHG3/IGKC/IGHG4	3
GO:0006022	aminoglycan metabolic process	2/35	134/18903	0.02547679345314368	0.2327061315031936	0.1943600883074785	HS3ST3B1/CHI3L2	2
GO:0043922	negative regulation by host of viral transcription	1/35	14/18903	0.025620843307693764	0.2327061315031936	0.1943600883074785	CCL4	1
GO:0046348	amino sugar catabolic process	1/35	14/18903	0.025620843307693764	0.2327061315031936	0.1943600883074785	CHI3L2	1
GO:0072350	tricarboxylic acid metabolic process	1/35	14/18903	0.025620843307693764	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0090239	regulation of histone H4 acetylation	1/35	14/18903	0.025620843307693764	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0042476	odontogenesis	2/35	135/18903	0.02583023956737869	0.2327061315031936	0.1943600883074785	SLC34A1/GLI2	2
GO:1904019	epithelial cell apoptotic process	2/35	137/18903	0.026543158249271753	0.2327061315031936	0.1943600883074785	FGA/MIR126	2
GO:0045861	negative regulation of proteolysis	3/35	352/18903	0.026995351245748683	0.2327061315031936	0.1943600883074785	SERPINA3/MIR126/PAPLN	3
GO:0007586	digestion	2/35	139/18903	0.027264057644318104	0.2327061315031936	0.1943600883074785	SERPINA3/NPC1L1	2
GO:0034116	positive regulation of heterotypic cell-cell adhesion	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	FGA	1
GO:0042532	negative regulation of tyrosine phosphorylation of STAT protein	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	SOCS3	1
GO:0090280	positive regulation of calcium ion import	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	STC1	1
GO:0097396	response to interleukin-17	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	SOCS3	1
GO:0097398	cellular response to interleukin-17	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	SOCS3	1
GO:1902166	negative regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1/35	15/18903	0.02742629994829071	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0001655	urogenital system development	3/35	360/18903	0.028596531758197957	0.2327061315031936	0.1943600883074785	HS3ST3B1/SLC34A1/GLI2	3
GO:0006825	copper ion transport	1/35	16/18903	0.02922850661399412	0.2327061315031936	0.1943600883074785	CP	1
GO:0035435	phosphate ion transmembrane transport	1/35	16/18903	0.02922850661399412	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0045838	positive regulation of membrane potential	1/35	16/18903	0.02922850661399412	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0061684	chaperone-mediated autophagy	1/35	16/18903	0.02922850661399412	0.2327061315031936	0.1943600883074785	BAG3	1
GO:0071501	cellular response to sterol depletion	1/35	16/18903	0.02922850661399412	0.2327061315031936	0.1943600883074785	NPC1L1	1
GO:0014065	phosphatidylinositol 3-kinase signaling	2/35	145/18903	0.029473990215352016	0.2327061315031936	0.1943600883074785	CSF3/MIR126	2
GO:0021513	spinal cord dorsal/ventral patterning	1/35	17/18903	0.0310274689832698	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0033189	response to vitamin A	1/35	17/18903	0.0310274689832698	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0072378	blood coagulation, fibrin clot formation	1/35	17/18903	0.0310274689832698	0.2327061315031936	0.1943600883074785	FGA	1
GO:1902165	regulation of intrinsic apoptotic signaling pathway in response to DNA damage by p53 class mediator	1/35	17/18903	0.0310274689832698	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0051346	negative regulation of hydrolase activity	3/35	373/18903	0.03130505532599382	0.2327061315031936	0.1943600883074785	SERPINA3/TMEM225/PAPLN	3
GO:0001890	placenta development	2/35	150/18903	0.03136876504305675	0.2327061315031936	0.1943600883074785	STC1/SOCS3	2
GO:0071456	cellular response to hypoxia	2/35	151/18903	0.031753424151643755	0.2327061315031936	0.1943600883074785	MIR126/STC1	2
GO:0018108	peptidyl-tyrosine phosphorylation	3/35	380/18903	0.032818019531718166	0.2327061315031936	0.1943600883074785	CSF3/SOCS3/IL21	3
GO:0002076	osteoblast development	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0006977	DNA damage response, signal transduction by p53 class mediator resulting in cell cycle arrest	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0006978	DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0006991	response to sterol depletion	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	NPC1L1	1
GO:0035864	response to potassium ion	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0046827	positive regulation of protein export from nucleus	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	BAG3	1
GO:0061450	trophoblast cell migration	1/35	18/18903	0.03282319272496137	0.2327061315031936	0.1943600883074785	ITGB4	1
GO:0007584	response to nutrient	2/35	154/18903	0.03291866779854782	0.2327061315031936	0.1943600883074785	STC1/SLC34A1	2
GO:0018212	peptidyl-tyrosine modification	3/35	382/18903	0.03325728804144677	0.2327061315031936	0.1943600883074785	CSF3/SOCS3/IL21	3
GO:0048754	branching morphogenesis of an epithelial tube	2/35	157/18903	0.03410064663606204	0.2327061315031936	0.1943600883074785	HS3ST3B1/GLI2	2
GO:0003417	growth plate cartilage development	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	STC1	1
GO:0021511	spinal cord patterning	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	GLI2	1
GO:0030299	intestinal cholesterol absorption	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	NPC1L1	1
GO:0032026	response to magnesium ion	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0036003	positive regulation of transcription from RNA polymerase II promoter in response to stress	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0042772	DNA damage response, signal transduction resulting in transcription	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	MUC1	1
GO:0048245	eosinophil chemotaxis	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	CCL4	1
GO:2000251	positive regulation of actin cytoskeleton reorganization	1/35	19/18903	0.03461568349830679	0.2327061315031936	0.1943600883074785	CSF3	1
GO:0036294	cellular response to decreased oxygen levels	2/35	159/18903	0.034897826175586066	0.2327061315031936	0.1943600883074785	MIR126/STC1	2
GO:0010288	response to lead ion	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0030002	cellular anion homeostasis	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0032634	interleukin-5 production	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	IL1RL1	1
GO:0032674	regulation of interleukin-5 production	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	IL1RL1	1
GO:0055062	phosphate ion homeostasis	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	SLC34A1	1
GO:0072376	protein activation cascade	1/35	20/18903	0.0364049469529536	0.2327061315031936	0.1943600883074785	FGA	1
