"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0035747","natural killer cell chemotaxis","2/11","10/18903",1.38185864238402e-05,0.00492246261422273,0.00258400538495683,"CCL3/CCL4",2
"GO:0043922","negative regulation by host of viral transcription","2/11","14/18903",2.79087865658309e-05,0.00492246261422273,0.00258400538495683,"CCL3/CCL4",2
"GO:0048245","eosinophil chemotaxis","2/11","19/18903",5.23607964349412e-05,0.00492246261422273,0.00258400538495683,"CCL3/CCL4",2
"GO:0070555","response to interleukin-1","3/11","141/18903",6.41602307041084e-05,0.00492246261422273,0.00258400538495683,"CHI3L1/CCL3/CCL4",3
"GO:0140131","positive regulation of lymphocyte chemotaxis","2/11","21/18903",6.42619140237954e-05,0.00492246261422273,0.00258400538495683,"CCL3/CCL4",2
"GO:0072677","eosinophil migration","2/11","23/18903",7.73711606713228e-05,0.00493885908951944,0.00259261257688117,"CCL3/CCL4",2
"GO:1901623","regulation of lymphocyte chemotaxis","2/11","27/18903",0.000107204783692673,0.00586563316489909,0.00307911483989481,"CCL3/CCL4",2
"GO:0070374","positive regulation of ERK1 and ERK2 cascade","3/11","223/18903",0.00024923243247967,0.00999761342550081,0.00524816315589021,"CHI3L1/CCL3/CCL4",3
"GO:0050850","positive regulation of calcium-mediated signaling","2/11","41/18903",0.000249339168117778,0.00999761342550081,0.00524816315589021,"CCL3/CCL4",2
"GO:2000403","positive regulation of lymphocyte migration","2/11","42/18903",0.000261723018334496,0.00999761342550081,0.00524816315589021,"CCL3/CCL4",2
"GO:0071356","cellular response to tumor necrosis factor","3/11","234/18903",0.000287137722403417,0.00999761342550081,0.00524816315589021,"CHI3L1/CCL3/CCL4",3
"GO:0034612","response to tumor necrosis factor","3/11","254/18903",0.000365269621348177,0.0113857963420968,0.00597687811279506,"CHI3L1/CCL3/CCL4",3
"GO:0019083","viral transcription","2/11","51/18903",0.000386463061219995,0.0113857963420968,0.00597687811279506,"CCL3/CCL4",2
"GO:0043547","positive regulation of GTPase activity","3/11","283/18903",0.00050116374163454,0.0137104080747163,0.00719716350768399,"TBC1D3E/CCL3/CCL4",3
"GO:0048247","lymphocyte chemotaxis","2/11","65/18903",0.0006276691151827,0.0159254892782034,0.00835995177171048,"CCL3/CCL4",2
"GO:0070372","regulation of ERK1 and ERK2 cascade","3/11","315/18903",0.000684829719593428,0.0159254892782034,0.00835995177171048,"CHI3L1/CCL3/CCL4",3
"GO:2000401","regulation of lymphocyte migration","2/11","69/18903",0.000707039858151222,0.0159254892782034,0.00835995177171048,"CCL3/CCL4",2
"GO:0002548","monocyte chemotaxis","2/11","71/18903",0.000748456415163608,0.0159254892782034,0.00835995177171048,"CCL3/CCL4",2
"GO:0071677","positive regulation of mononuclear cell migration","2/11","73/18903",0.00079102410135871,0.015945380569494,0.0083703935379232,"CCL3/CCL4",2
"GO:0070371","ERK1 and ERK2 cascade","3/11","340/18903",0.000854914805866808,0.0163716185323494,0.00859414357476633,"CHI3L1/CCL3/CCL4",3
"GO:0050848","regulation of calcium-mediated signaling","2/11","83/18903",0.00102105109090677,0.0182033415498102,0.00955569118046926,"CCL3/CCL4",2
"GO:0051851","modulation by host of symbiont process","2/11","84/18903",0.00104562275220842,0.0182033415498102,0.00955569118046926,"CCL3/CCL4",2
"GO:0043087","regulation of GTPase activity","3/11","376/18903",0.00114397777094563,0.0190497167944425,0.00999998875288858,"TBC1D3E/CCL3/CCL4",3
"GO:0070098","chemokine-mediated signaling pathway","2/11","90/18903",0.00119901017367406,0.0191342040215486,0.0100443396127959,"CCL3/CCL4",2
"GO:0002690","positive regulation of leukocyte chemotaxis","2/11","97/18903",0.00139081109513658,0.0201335388742135,0.0105689320461036,"CCL3/CCL4",2
"GO:1990868","response to chemokine","2/11","98/18903",0.00141933563865213,0.0201335388742135,0.0105689320461036,"CCL3/CCL4",2
"GO:1990869","cellular response to chemokine","2/11","98/18903",0.00141933563865213,0.0201335388742135,0.0105689320461036,"CCL3/CCL4",2
"GO:0019080","viral gene expression","2/11","100/18903",0.00147722527508265,0.0202063314413091,0.0106071438925108,"CCL3/CCL4",2
"GO:0022600","digestive system process","2/11","106/18903",0.00165759876221573,0.0211620108642875,0.0111088197748493,"SERPINA3/NPC1L1",2
"GO:0030593","neutrophil chemotaxis","2/11","106/18903",0.00165759876221573,0.0211620108642875,0.0111088197748493,"CCL3/CCL4",2
"GO:0071347","cellular response to interleukin-1","2/11","111/18903",0.00181555960457969,0.0224309460823878,0.0117749366544897,"CCL3/CCL4",2
